net,length_um
rd1_ex\[18\],235.34
_04638_,235.3
_00538_,235.08
_02277_,234.47
_02669_,234.46
_04688_,234.43
_02803_,234.385
rd2_ex\[7\],234.36
_02005_,233.92
_02781_,233.55
_00544_,232.76
_02747_,232.68
_05401_,231.89
_05255_,231.64
_04746_,231.05
_01453_,230.96
_00521_,230.4
_01680_,230.18
_04631_,229.88
_02748_,229.63
_02508_,229.62
_05523_,229.4
_01683_,228.97
_01473_,228.745
rd1_ex\[17\],228.74
_02684_,228.42
_01897_,228.37
_01626_,228.02
_05383_,228.02
rd1_ex\[11\],227.44
_00546_,227.425
_02094_,227.16
_01999_,226.62
_01468_,226.585
_02841_,226.42
_00540_,226.34
_02381_,226.27
_04728_,226.24
_02431_,226.12
_02773_,226.12
_05425_,226.08
_05380_,226.04
_05503_,225.98
_04658_,225.86
_04757_,225.85
_05237_,225.48
_00526_,225.205
_01452_,224.88
_01686_,224.775
net205,224.5
_02451_,224.24
_04623_,224.21
imm_ex\[19\],224.19
_04819_,223.82
_04624_,223.53
_02738_,223.52
_04054_,223.12
_02665_,222.94
_05522_,222.475
_01616_,222.28
_05460_,221.88
_03923_,221.74
_05397_,221.375
_02466_,221.345
_01674_,221.18
_02723_,221.16
_02676_,221.1
pc_plus_4_ex\[12\],221.04
_05461_,221.02
_02000_,220.68
imm_ex\[15\],220.665
_03960_,220.5
_05474_,220.14
_02942_,220.08
_02704_,219.96
_03941_,219.84
_02380_,219.8
imm_ex\[25\],219.64
_02688_,219.46
_05442_,219.44
_03915_,219.26
_02921_,219.24
_01646_,219.2
_02422_,218.6
_03922_,218.48
_05476_,218.34
_02842_,218.06
_04740_,217.92
_02686_,217.61
_03958_,217.44
_01803_,217.33
_01997_,217.25
_02889_,217.02
_03959_,216.88
_02685_,216.81
_01937_,216.74
_02023_,216.615
rd2_ex\[29\],216.05
_02562_,216.04
_05400_,215.955
_02634_,215.77
_03825_,215.74
_02798_,215.725
_05295_,215.64
_01837_,215.48
_04693_,215.1
_02854_,215.03
_02715_,215.02
_02491_,214.9
_02993_,214.785
_05478_,214.76
_02119_,214.38
_04759_,214.26
_04649_,214.12
_04758_,214.08
_04647_,214.05
_00549_,213.86
_02994_,213.72
_05479_,213.56
_02561_,213.39
_02259_,213.28
_02675_,212.71
_02734_,212.66
_05424_,211
_02667_,210.44
_05504_,210.32
_01916_,210.3
_02823_,210.2
_05443_,210.19
_01641_,210.16
jump_wb,210.08
_00518_,209.96
_02102_,209.9
_04820_,209.3
_02567_,209.15
_04733_,208.25
_02585_,208.19
_03939_,207.97
_05218_,207.73
imm_ex\[31\],207.17
_01619_,207.12
_03916_,206.78
_02653_,206.725
_02826_,205.86
imm_ex\[16\],205.82
imm_ex\[23\],205.7
jump_ex,204.91
