net,length_um
_01819_,283.03
_03319_,282.41
imm_ex\[31\],282.01
rd1_ex\[16\],280.88
_05511_,280.7
_05404_,280.32
_06118_,279.95
_05394_,279.84
_01816_,278.44
_03372_,278.2
_00627_,277.785
_02109_,276.65
_02485_,276.2
_05425_,275.485
_05617_,274.98
_02919_,274.01
_01960_,273.925
_05370_,273.46
_01958_,273.34
_02474_,272.96
_01490_,272.94
_00821_,272.9
_05420_,272.38
_06145_,272.3
_05760_,272.24
net152,272.115
_05365_,271.975
_01825_,271.465
_05395_,271.4
_02878_,271.38
_02594_,271.105
_01931_,270.58
_05702_,270.54
net159,270.36
_00820_,270.165
_05694_,269.695
_05703_,268.86
_00825_,268.705
_05373_,267.82
clknet_4_15__leaf_clk,267.6
_02494_,267.58
_05390_,266.73
_05387_,266.72
_02855_,266.64
rd1_ex\[10\],266.64
_05451_,266.07
_02184_,266.02
_00048_,265.92
_02277_,264.33
_05732_,264.06
_05388_,262.69
_00619_,262.24
_06717_,261.3
rd1_ex\[6\],261.22
_05452_,261.1
_05366_,260.93
_07024_,260.36
_06910_,260.34
_04643_,260.16
rd1_ex\[11\],259.5
_06556_,259.4
rd1_ex\[25\],259.34
net151,259.32
_05443_,259.31
_01955_,259.14
_02927_,259.06
_03773_,258.72
_03002_,258.48
_04247_,258.41
_05635_,258.26
_00617_,257.36
rd1_ex\[14\],256.66
_05457_,255.88
_01497_,255.8
imm_ex\[30\],255.6
_03102_,255.52
_03653_,255.47
_05375_,255.075
_02043_,254.76
_01716_,254.52
_04778_,253.49
_05802_,253.31
_06092_,252.72
_01735_,252.5
_02817_,252.21
_01754_,251.95
_05980_,251.58
_03140_,251.56
_01511_,251.42
_03515_,251.39
_05386_,251.215
_02689_,251.2
_05752_,250.92
_02600_,250.8
_05548_,250.68
_05455_,250.245
_05377_,249.98
_02185_,249.48
rd1_ex\[4\],248.99
_05485_,248.78
rd1_ex\[7\],248.76
net153,248.7
_01845_,248.42
imm_ex\[29\],247.14
_02608_,246.78
_05433_,246.515
_02082_,245.64
_03585_,245.2
_05438_,244.98
_05436_,244.865
_04317_,244.74
_05384_,244.74
_01729_,244.51
_02129_,244.11
_03026_,243.49
_02563_,243.39
_06096_,242.84
_05491_,242.495
_05439_,242.44
_05700_,241.8
_06961_,241.47
_03572_,241.4
_02936_,241.1
_00042_,240.495
_01732_,240.06
_03432_,239.545
_05423_,239.42
_03400_,239.32
_07087_,239.22
_05514_,238.94
_05396_,238.87
_03354_,238.32
rd1_ex\[9\],238.235
_06667_,238.22
_05374_,237.62
_05718_,237.375
_03491_,236.74
_02116_,236.64
net184,236.63
_02992_,236.62
_06853_,236.54
_01494_,236.22
_00826_,236.1
_05393_,236.085
_06668_,236.08
rd2_ex\[9\],235.96
_06980_,235.62
_04578_,235.53
_03125_,235.215
_02576_,235.1
imm_ex\[17\],234.96
_01572_,234.74
_05367_,234.68
_05411_,234.51
rd2_ex\[5\],234.46
_05380_,234.21
_01943_,234.04
_02691_,233.66
_06941_,233.58
rd1_ex\[15\],233.24
_06669_,233.02
_05385_,232.7
_03755_,232.63
_05403_,232.34
_02994_,231.9
_05618_,231.62
rd1_ex\[22\],231.01
imm_ex\[11\],230.55
rd1_ex\[18\],230.46
_03017_,230.405
_06657_,230.34
_03612_,230.3
_01963_,229.525
_06671_,229.31
_07057_,229.28
_03139_,229.23
_01755_,228.94
_03613_,228.885
_03504_,228.7
_01726_,228.58
_05757_,228.52
_02625_,226.52
_02857_,226.12
imm_ex\[27\],225.89
_05358_,225.75
_02627_,225.72
_04022_,225.52
_05458_,224.74
_03639_,224.285
_03055_,224.09
rd2_ex\[11\],223.88
_07033_,223.715
_06501_,222.675
_00633_,222.655
_05431_,222.2
rd1_ex\[12\],221.68
_02727_,221.61
_03651_,221.34
regfile.registers\[13\]\[12\],221.17
_03024_,220.32
_01824_,220.1
pc_plus_4_ex\[9\],219.72
clknet_4_8__leaf_clk,219.13
_02681_,218.83
_03771_,218.66
_04369_,218.64
_07085_,218.47
_06097_,218.4
_03307_,218.1
_03390_,217.68
imm_ex\[0\],217.64
_06040_,217.58
_03621_,217.54
_00055_,217.48
_06672_,217.05
_00640_,216.82
_06112_,216.78
_02667_,216.76
_07036_,216.76
_03270_,215.98
_03013_,215.49
rd1_ex\[13\],215.09
_01723_,215.04
_02935_,214.7
_01802_,214.47
